a lot of,たくさんの
about,ついて・訳
abundance,豊富/アバンダンス
actually,実際に/アクシュアリー
advertising,広告/アドバダイジング
advisable,推奨・賢明な/アドヴァイザブル
agree,同意
already,すでに
also,また・さらに
although,でも/オールゼアル
always,いつも
amount,量・額/アマーントゥ
announce,発表/アナウンス
apologize,謝罪/アポロジャイズ
as,なので
attempts,試み
available,利用可能/アヴェイラブル
avoid,避ける/アボイド
away,あちらへ

became,なりました
between,の間に
by,そって・によって・までに・そばに

care,ケア・心配・気づく
careful,注意深く
carefully,注意深く・気を付けて/ケアフリー
cause,原因/コーズ
conclude,結論/コンクルード
considered,考慮・と見なされる/コンシダード
crature,生物/クリーチャー
criticized,批判された/クリタサイズ
currently,現在/カーレントリィ

deal,対処
decide,決定
desired,望ましい・ほしい/ディザイアド
difference,違い
disappoint,がっかりする・残念だ/ディスアポイント
drowing,溺死
drown,溺れる/ドラウン
dutch,オランダの

earlier,ついさっき
earns,稼ぐ/アーンス
enclose,同封・囲う/エンクローズ
enough,十分の
envelope,封筒/エンベロープ
everybody, みんな
exam,試験
excursion,遠足・修学旅行/エクスカーション
expected,期待される/エクスペクティッデゥ
expensive,高い/エクスペンシィブ
expensive,高価な
extravagance,浪費/エクストラヴィガンス

facing,直面している/フェイシング
fact,実際・事実/ファクト
feel,感じられる
feelings,気持ち
felt,感じた
firms,企業/ファームス
fluently,流暢に/フリュエントリ
follow,従う
followed,続く
fond,好き・優しい/ファゥンド
found,見つかった・設立する
furious,激怒/フィアリアス
further,さらに

habitat,生息地/ハバタット
happen,起こる/ハプン
however,でも・しても
hurt,傷つく/ハート

impress,感動・印象的
including,共に・含む/インクルーディング
insisted,主張した/インシステッド
interruptions,中断・邪魔される
issues,問題/イシューズ

knew,知っていた

lately,近々/レイトリィ
laugh,笑う/ラフ
learn,学ぶ/ﾗｰﾝ
leave,残す/リーブ
lent,貸出/レント
less,以下
lie,嘘・位置
lose,失う・負ける
luggage,荷物

mammal,哺乳類
managed to,なんとか
matter,案件・事項・内容
may be,多分
meal,食事
meals,食事
meet,会う・出迎える
mere,ほんの・単なる/ミア
mind,マインド

nearly,ほぼ/ニアリィ
no longer taught,もう教えられていない
nutrition,栄養/ニュートリション

of,の
own,自分の/オーン

participated,参加
passage,通路・一説/パッセージ
passenger,乗客
perhaps,多分/パーハプス
period,限目・期間・時代/ピリオド
please,お願い・喜ばせる
praise,賞賛/プレイズ
pretty well,かなりよく
pretty,かわいい
progress,進捗/プログレス
proportion,割合・比率/プロポーション
proved to be,～であることが証明された
proved,証明された
provide,提供/プロバイド

quite,とても/クイット
quoting,引用/クオーティング

rapid,急速・迅速/ラピッド
realize,気づく
reason,理由
regret,後悔/リグラット
rely,頼る/ﾘｧﾗｲ
require,必要
responsibility,責任/レスポーンシビィティ

seats,座席
seems,どうやら
seldom,滅多
several,いくつかの
several,いくつかの
several,いくつかの/セヴェラル
should,したほうがいい・べき/shallの過去形
society,社会/ソサエティ
solve,解決/ソーブ
some,いくつか
sooner,より早く/スーナー
species,種族/スピーシーズ
still,まだ
strong,強い・価値？
such,そんな・そのような
such,そんな・そのような
sunken,沈没/サンケン
surveyor,測量士/サベヤー

take,取る
taking,取る
taught,教えた/teachの過去形
telephone rang,電話が鳴った
terrible,ひどい
their,彼らの
them,彼ら/ゼム
themselves,彼ら自身/ゼムセルブズ
there,そこの
these,これらは/ジーズ
threat,脅威/スラート
to,に・まで
touch,触る・感動/タッチ
traffic,交通/トラフィック
tuition,学費/トゥーイション

until,それまでに
upstairs,二階
usually,いつもの・通常

viruses,ウィルス

were,～～だった
which,どちら・どれ
while,その間・同時に・傍ら・又
wise,賢い
with,と
without,それなし
without,それなし(で)
wive,妻/ワイフ
worse,悪い/ワース
worth,価値
would,だろう

yet,まだ

